nombre,rating,precio,numero_comentarios
Dragon Parks,96%,"19,95 €",5
Draftosaurus,97%,"19,95 €",46
Unánimo,95%,"9,95 €",16
75 Gnom' Street,90%,"18,00 €",8
Misión Cumplida,96%,"9,95 €",185
Virus! Halloween,99%,"3,55 €",26
Antarctica,97%,"6,00 €",7
Pakal,None,"22,45 €",None
Roll to the Top,91%,"9,95 €",47
Virus,93%,"13,46 €",311
Virus 2 Evolution,89%,"11,95 €",30
¡Arre unicornio!,95%,"14,95 €",45
Codex Naturalis,None,"13,50 €",None
En la Mente de Sherlock,56%,"6,00 €",15
Clank! Legacy,None,"99,00 €",None
El Portero Baldomero,95%,"12,50 €",35
Pajarracos,92%,"8,00 €",57
Pistas Cruzadas,95%,"11,70 €",4
Exit 15: El Faro Solitario,None,"22,49 €",None
Wingspan,100%,"49,50 €",20
Diáspora,87%,"6,00 €",85
Picnic,94%,"9,95 €",25
¡Extinción!,97%,"13,95 €",26
Misión Marte,86%,"9,95 €",26
